Time	Stationpair	Depth	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54
Day	S3-1	3	0	0	1	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	94	64	70
Day	S3-1	30	1	3	0	1	2	1	3	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	103	33	67
Day	S3-1	50	2	1	2	1	1	1	2	2	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	4	1	1	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	123	66	65
Day	S3-1	75	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	6	0	2	3	3	3	1	4	0	0	0	0	0	0	0	0	0	0	85	69	58
Day	S3-1	93	2	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	4	1	1	6	0	0	1	1	0	3	0	3	3	0	1	0	0	150	87	137
Day	S3-1	150	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	1	0	3	0	0	0	80	36	31
Day	S3-1	200	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	54	12	15
Day	S3-1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	16	4
Day	S3-1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	7
Day	S3-2	3	0	0	1	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	94	64	70
